iter	RMSE
0	14.56760788
1	14.0939293
2	13.62375485
3	13.20399883
4	12.7720742
5	12.39321263
6	12.06869197
7	11.72942185
8	11.42156179
9	11.08586495
10	10.77979915
11	10.49892037
12	10.25064469
13	9.987713833
14	9.734041221
15	9.487014049
16	9.256548821
17	9.04283276
18	8.828012082
19	8.633247156
20	8.481402897
21	8.344990813
22	8.167264257
23	8.004665465
24	7.865329997
25	7.740598436
26	7.601873586
27	7.474641068
28	7.361812847
29	7.250400119
30	7.157266914
31	7.067348476
32	6.971652081
33	6.888489864
34	6.800804046
35	6.725740371
36	6.650786286
37	6.57769686
38	6.513532581
39	6.45119005
40	6.396965783
41	6.351829785
42	6.291308928
43	6.236368373
44	6.186526018
45	6.143717892
46	6.089471227
47	6.050847143
48	6.008803308
49	5.966076386
50	5.929348608
51	5.897894026
52	5.862614462
53	5.82691634
54	5.794746629
55	5.769748263
56	5.744051897
57	5.72018365
58	5.692811718
59	5.671655897
60	5.646573444
61	5.621634598
62	5.597838589
63	5.574757285
64	5.55617611
65	5.539639698
66	5.522380515
67	5.503284654
68	5.493033447
69	5.478833453
70	5.463714706
71	5.4464747
72	5.432783048
73	5.419836802
74	5.405003654
75	5.392802229
76	5.38243409
77	5.372061224
78	5.361885745
79	5.351255447
80	5.34245675
81	5.332846567
82	5.317449777
83	5.307501865
84	5.294133727
85	5.284789729
86	5.276027253
87	5.267178538
88	5.258846645
89	5.246075187
90	5.235950682
91	5.225445943
92	5.217881658
93	5.20991419
94	5.200591406
95	5.192003872
96	5.186600748
97	5.182275067
98	5.176341871
99	5.169926652
