iter	Passed	Remaining
0	2	247
1	4	224
2	6	219
3	8	214
4	11	209
5	13	207
6	15	205
7	17	203
8	19	200
9	21	193
10	23	188
11	25	183
12	26	177
13	27	171
14	29	166
15	30	160
16	32	156
17	33	151
18	34	146
19	35	143
20	37	140
21	38	137
22	39	132
23	40	128
24	41	124
25	42	121
26	43	118
27	44	115
28	45	112
29	46	109
30	47	106
31	48	103
32	49	100
33	50	98
34	51	95
35	52	93
36	53	91
37	54	88
38	55	86
39	56	84
40	57	82
41	58	80
42	59	78
43	60	76
44	61	74
45	62	72
46	63	71
47	63	69
48	64	67
49	65	65
50	66	64
51	67	62
52	68	61
53	69	59
54	70	57
55	71	56
56	72	54
57	73	53
58	74	51
59	75	50
60	76	48
61	77	47
62	78	46
63	79	44
64	80	43
65	81	41
66	82	40
67	83	39
68	84	37
69	85	36
70	85	35
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
